Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0155022, 0.00226042, 0.00250411, 0.00110123, 72357, 21348, 93885
0.0117807, 0.00250267, 0.00193645, 0.0010171, 74577, 21124, 98637
0.0128186, 0.00259855, 0.00210988, 0.00109273, 77350, 20952, 122661
0.013679, 0.00230907, 0.00176247, 0.00152879, 81096, 19648, 195492
0.0168351, 0.00441215, 0.00306192, 0.00184673, 86299, 19597, 156519
0.0137102, 0.00290073, 0.00263257, 0.00154498, 86785, 19887, 131934
0.0187478, 0.00405309, 0.00236902, 0.00215889, 88441, 19877, 173151
0.0127226, 0.00240306, 0.00182393, 0.00133075, 88930, 20071, 124773
0.00720181, 0.00291202, 0.00171843, 0.000903021, 91113, 19292, 93555
0.0104515, 0.0042575, 0.00171195, 0.00135299, 94459, 18989, 111144
0.00857805, 0.00398368, 0.00165111, 0.000998719, 95436, 17887, 96954
0.00927005, 0.00466228, 0.00210047, 0.000912743, 96405, 16963, 79431
0.00735575, 0.00347251, 0.00145885, 0.000773033, 93656, 15977, 70323
0.00660107, 0.00247578, 0.00142901, 0.000733133, 90706, 15555, 89034
0.0080872, 0.00289603, 0.00148078, 0.000903993, 85045, 17423, 121341
0.0126822, 0.00357504, 0.00226814, 0.000976499, 80056, 18840, 113520
0.00959191, 0.00321511, 0.00214104, 0.00111261, 77507, 19621, 126720
0.00970493, 0.00330411, 0.00180839, 0.00126656, 76339, 19425, 120483
0.00947312, 0.00336738, 0.00210547, 0.00109622, 74965, 19069, 93819
0.0132668, 0.00242803, 0.00164936, 0.00115015, 74787, 19610, 117117
0.00805626, 0.00289627, 0.00182622, 0.00106533, 75424, 19878, 107976
0.00847509, 0.00341814, 0.00225508, 0.00101267, 76755, 20132, 89397
0.00854981, 0.00241428, 0.00191443, 0.00111718, 77062, 19776, 101805
0.00644295, 0.00239611, 0.00179112, 0.000683434, 77446, 19202, 75075
0.012695, 0.00276193, 0.002507, 0.00108419, 78849, 19232, 83127
0.00790242, 0.00367507, 0.00221506, 0.000839933, 79529, 19005, 58608
0.00629692, 0.00313098, 0.00151153, 0.000595051, 79755, 18532, 51084
0.00539313, 0.00371128, 0.00168037, 0.00031371, 79239, 18090, 19701
0.00379663, 0.00254638, 0.00124834, 0.000211657, 78358, 17641, 14982
0.00313569, 0.00213378, 0.0010006, 0.000167063, 77445, 16545, 11055
0.00344047, 0.00256864, 0.000870251, 0.000136214, 77469, 16157, 8712
0.00453599, 0.00344944, 0.00108417, 0.000118301, 77402, 16122, 6567
0.00415143, 0.00317563, 0.000964456, 7.9553e-05, 77578, 16166, 4224
0.00428041, 0.00340783, 0.000870902, 0.000109191, 77588, 16057, 6138
0.00395444, 0.00316586, 0.000786762, 1.432e-05, 77629, 16017, 495
0.0039065, 0.00325921, 0.000645189, 3.4371e-05, 77493, 16194, 1881
0.00351584, 0.00214239, 0.00137151, 2.864e-05, 77662, 16118, 1155
0.0029333, 0.00216482, 0.000766284, 0, 77597, 16185, 0
0.00379257, 0.00289782, 0.000892309, 0, 77659, 16187, 0
0.00405662, 0.00324874, 0.000805535, 0, 77581, 16055, 0
0.00392285, 0.00317132, 0.000749002, 0, 77586, 16079, 0
0.00369157, 0.00286869, 0.000821176, 0, 77582, 16190, 0
0.00416215, 0.00336341, 0.000796674, 0, 77588, 16055, 0
0.00445956, 0.00358584, 0.000871641, 0, 77552, 16133, 0
0.00267782, 0.00213844, 0.000537696, 0, 77518, 16207, 0
0.00319124, 0.00268331, 0.000506565, 0, 77504, 16106, 0
0.00302307, 0.00235765, 0.00066379, 0, 77670, 16196, 0
0.0026898, 0.00220832, 0.00047997, 0, 77453, 16116, 0
0.00319224, 0.00230811, 0.000882549, 0, 77566, 16046, 0
0.0031492, 0.00260458, 0.000541849, 0, 77445, 16130, 0
0.00270405, 0.0021872, 0.000515452, 0, 77538, 16101, 0
0.00420133, 0.00334076, 0.000858171, 0, 77665, 16095, 0
0.00406788, 0.00327553, 0.000790718, 0, 77401, 16121, 0
0.00287124, 0.00219971, 0.000669579, 0, 77540, 16147, 0
